AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4122.179487,4127.820513,3987.948717,4112.564102,4114.743589,4118.461538,4106.794872,4127.179487,4112.564102,4143.076923,4141.666666,4127.820513,4134.871795,4125.128205
4101.410256,4113.717948,3964.487179,4096.025641,4102.179487,4105.384615,4090.76923,4105.641025,4097.820512,4128.974359,4119.743589,4104.487179,4115,4128.974359
4107.435897,4124.743589,3964.743589,4108.205128,4116.538461,4118.846154,4105.384615,4112.692307,4103.333333,4132.564102,4126.025641,4106.666666,4118.717948,4129.615384
4121.282051,4138.589743,3980.384615,4121.282051,4131.666666,4128.589743,4119.871795,4135.25641,4125.769231,4155.384615,4145.769231,4122.692307,4137.051282,4128.076923
4120.897436,4134.871795,3978.461538,4115.51282,4123.461538,4116.282051,4108.974359,4129.743589,4124.487179,4160,4149.102564,4119.487179,4141.538461,4126.794872
4115.384615,4127.179487,3966.923076,4112.307692,4115.51282,4111.025641,4102.564102,4115.25641,4105.384615,4144.487179,4143.205128,4106.666666,4131.538461,4125
4112.820513,4125,3968.333333,4118.717948,4117.179487,4120.641025,4115.384615,4120.384615,4100.897436,4136.666666,4146.666666,4106.153846,4125.51282,4126.282051
4111.410256,4121.410256,3975.76923,4119.615384,4110.384615,4120.25641,4120,4124.358974,4107.435897,4137.564102,4149.615384,4111.538461,4127.051282,4127.435897
4115.641025,4121.025641,3978.589743,4117.948718,4103.974359,4113.333333,4113.974359,4126.410256,4110,4138.717949,4146.538461,4115.769231,4130.51282,4127.692307
4122.051282,4125.769231,3977.948717,4120.25641,4107.564102,4115,4118.974359,4138.846154,4110.25641,4138.076923,4145.25641,4118.461538,4132.948718,4128.076923
4118.205128,4125.641025,3974.615384,4116.153846,4107.051282,4120.641025,4126.153846,4140.128205,4108.589743,4131.538461,4138.076923,4115.641025,4129.102564,4128.974359
4119.102564,4130.641025,3978.333333,4116.923077,4108.076923,4126.282051,4128.589743,4134.615384,4110,4131.923077,4135.25641,4117.307692,4131.538461,4129.743589
4134.230769,4144.487179,3992.948717,4129.102564,4118.717948,4132.051282,4136.153846,4143.974359,4119.102564,4148.076923,4147.435897,4133.076923,4143.846154,4128.333333
4133.333333,4141.794872,3995.76923,4127.051282,4120.128205,4130.641025,4131.538461,4142.051282,4117.820513,4150.128205,4150.25641,4139.230769,4142.179487,4127.307692
4121.794872,4129.102564,3992.564102,4114.230769,4114.615384,4124.871795,4121.025641,4131.153846,4110.51282,4143.974359,4145.128205,4131.923077,4136.923077,4127.307692
4139.74359,4143.717949,4012.307692,4121.538461,4131.025641,4132.179487,4133.717948,4145.641025,4121.282051,4168.205128,4167.820513,4141.538461,4157.948718,4127.948718
4149.358974,4152.179487,4018.846153,4119.358974,4139.230769,4136.410256,4136.666666,4145.128205,4123.461538,4177.820513,4178.717949,4145.25641,4163.846154,4128.717948
4121.538461,4128.333333,3990.128205,4086.666666,4120.769231,4126.282051,4116.794872,4123.076923,4108.333333,4147.692307,4145.769231,4122.820513,4135,4128.589743
4107.179487,4120.384615,3974.999999,4070.384615,4118.076923,4126.410256,4117.820513,4121.923077,4104.615384,4135,4128.974359,4111.282051,4121.666666,4127.820513
4113.333333,4130.769231,3979.871794,4073.974359,4130.384615,4136.666666,4130.641025,4126.025641,4107.820513,4142.564102,4142.307692,4116.666666,4127.948718,4127.820513
4108.205128,4123.846154,3973.461538,4060.76923,4126.025641,4134.230769,4120.51282,4118.461538,4103.205128,4134.230769,4143.846154,4112.692307,4123.717948,4127.564102
4097.564102,4103.333333,3960.76923,4038.333333,4110.641025,4118.461538,4101.538461,4109.358974,4094.358974,4119.358974,4130,4099.358974,4113.717948,4129.615384
4095.51282,4095.51282,3962.307692,4032.820512,4107.307692,4111.153846,4094.102564,4105.51282,4090.128205,4118.205128,4125.769231,4093.974359,4110.897436,4129.102564
4104.102564,4108.205128,3976.923076,4039.743589,4115.25641,4118.974359,4102.948718,4116.025641,4102.820513,4129.871795,4140.769231,4102.820513,4117.307692,4125
4113.461538,4120.51282,3983.461538,4039.615384,4120.25641,4120.897436,4114.615384,4128.461538,4114.615384,4140.769231,4151.923077,4108.461538,4122.051282,4126.410256
4108.076923,4113.076923,3973.589743,4028.717948,4115.384615,4109.102564,4107.564102,4120.769231,4104.102564,4136.410256,4142.820513,4098.846154,4116.153846,4126.282051
4099.615384,4103.589743,3966.923076,4015.384615,4106.538461,4107.564102,4098.333333,4111.153846,4094.102564,4129.358974,4128.846154,4093.589743,4109.871795,4123.846154
4099.230769,4106.282051,3970.384615,4005.76923,4102.307692,4112.820513,4098.333333,4109.743589,4094.358974,4130.769231,4131.410256,4099.871795,4112.435897,4126.025641
4101.538461,4110.25641,3978.076923,4002.948717,4102.179487,4106.794872,4092.051282,4103.205128,4093.076923,4136.410256,4147.051282,4106.410256,4120.769231,4126.794872
4100.384615,4108.846154,3975.641025,3995.76923,4103.333333,4101.666666,4083.589743,4096.666666,4089.615384,4132.948718,4147.051282,4102.307692,4121.025641,4127.051282
4087.307692,4102.564102,3959.358974,3979.743589,4099.743589,4102.948718,4083.974359,4093.333333,4082.051282,4117.564102,4128.076923,4088.333333,4110.51282,4126.538461
4080,4102.179487,3961.794871,3977.307692,4099.102564,4103.461538,4088.974359,4094.358974,4080.384615,4116.923077,4129.358974,4088.461538,4110.128205,4128.333333
4099.871795,4113.974359,3991.153846,3989.999999,4113.205128,4115.128205,4102.692307,4109.743589,4098.205128,4137.948718,4159.102564,4109.615384,4127.692307,4129.615384
4119.743589,4116.153846,4006.794871,3982.051282,4121.538461,4133.717948,4125.384615,4129.487179,4114.487179,4150.641025,4177.307692,4125.641025,4140.384615,4125.128205
4114.230769,4102.692307,3996.794871,3957.948717,4107.564102,4131.538461,4131.794872,4138.461538,4112.179487,4145.641025,4179.358974,4127.948718,4142.564102,4127.051282
4108.846154,4097.435897,3991.538461,3946.538461,4095,4117.179487,4118.076923,4135.897436,4106.794872,4142.307692,4184.74359,4127.051282,4144.74359,4128.974359
4118.717948,4106.538461,3996.794871,3941.02564,4097.820512,4122.051282,4119.487179,4134.615384,4109.230769,4143.333333,4185.641026,4120.897436,4143.974359,4127.564102
4124.102564,4112.692307,3998.461538,3938.461538,4103.717948,4130.51282,4131.410256,4141.538461,4115,4145.51282,4182.948718,4116.794872,4141.923077,4129.871795
4119.743589,4109.230769,3997.564102,3941.923076,4108.461538,4123.333333,4126.153846,4139.230769,4111.538461,4148.589743,4182.948718,4118.205128,4142.051282,4126.538461
4119.487179,4105,3996.794871,3939.999999,4111.282051,4124.615384,4122.051282,4134.102564,4107.948718,4148.589743,4178.333333,4110.769231,4141.538461,4124.358974
4117.948718,4099.230769,3990.128205,3928.974358,4102.820513,4125.641025,4118.846154,4129.487179,4110,4146.025641,4167.179487,4098.846154,4134.871795,4128.717948
4117.051282,4102.179487,3985.897435,3927.179486,4102.948718,4116.666666,4111.153846,4124.358974,4107.820513,4145.25641,4167.564102,4102.051282,4132.948718,4129.358974
4127.564102,4120.384615,3998.333333,3936.410256,4122.179487,4127.948718,4127.820513,4134.871795,4111.538461,4156.282051,4186.538461,4116.794872,4148.333333,4126.538461
4132.692307,4125.51282,4006.538461,3937.051281,4126.410256,4140.641025,4144.230769,4153.974359,4128.974359,4173.205128,4199.74359,4119.871795,4158.333333,4125.51282
4115.769231,4105.384615,3989.743589,3926.666666,4106.025641,4123.846154,4125.25641,4144.102564,4127.435897,4168.717949,4185,4104.487179,4143.333333,4126.538461
4104.487179,4096.666666,3980.76923,3926.02564,4099.230769,4115.128205,4113.846154,4126.538461,4110.25641,4152.307692,4169.487179,4096.153846,4133.974359,4127.564102
4113.205128,4112.179487,3994.999999,3942.820512,4109.102564,4128.974359,4127.051282,4136.153846,4110.769231,4151.153846,4176.410256,4105,4141.666666,4126.282051
4117.435897,4118.974359,4001.666666,3953.333333,4108.205128,4130.51282,4129.102564,4143.974359,4120.128205,4154.230769,4182.179487,4109.230769,4141.410256,4125.384615
4114.743589,4113.461538,3995.25641,3951.666666,4106.666666,4127.051282,4126.538461,4139.615384,4118.589743,4149.615384,4176.538461,4103.846154,4136.282051,4125.25641
4120,4116.153846,3998.974358,3953.717948,4118.333333,4138.461538,4135.384615,4143.461538,4116.025641,4151.153846,4178.461538,4105.128205,4142.051282,4126.666666
4126.538461,4121.538461,4008.461538,3959.102563,4122.948718,4141.666666,4133.974359,4146.538461,4120,4161.153846,4187.179487,4111.282051,4150.128205,4128.589743
4119.102564,4114.615384,4000.51282,3952.435897,4112.564102,4128.974359,4122.692307,4135.897436,4116.153846,4162.179487,4176.153846,4102.820513,4144.487179,4126.410256
4120.769231,4113.333333,3995.641025,3947.692307,4114.230769,4128.461538,4126.923077,4138.717949,4115.641025,4160.641025,4166.025641,4098.974359,4141.153846,4125.897436
4138.589743,4133.333333,4016.153846,3962.179487,4131.923077,4138.076923,4138.076923,4153.974359,4126.538461,4172.179487,4183.974359,4113.974359,4150.769231,4125.897436
4142.820513,4147.051282,4033.974358,3975.25641,4138.589743,4142.564102,4142.692307,4155.128205,4126.666666,4183.717949,4200.641026,4123.461538,4157.179487,4125.384615
4135.51282,4141.410256,4030.384615,3970.641025,4129.358974,4139.615384,4141.923077,4153.076923,4119.230769,4183.333333,4198.846154,4121.153846,4155.384615,4126.666666
4134.358974,4139.230769,4025.897435,3961.923076,4123.461538,4132.820513,4137.564102,4154.74359,4119.871795,4177.435897,4191.923077,4117.948718,4151.538461,4126.153846
