T7,P7,O1,O2,P8
3969.230769,4022.051282,4019.615384,4043.333333,4040.76923
3969.999999,4020.76923,4017.051282,4043.846153,4044.615384
3970.25641,4015.76923,4009.487179,4038.461538,4044.102564
3969.615384,4009.102564,4005.128205,4032.948717,4040.51282
3973.589743,4013.717948,4010.51282,4033.461538,4039.871794
3972.435897,4018.717948,4011.923076,4034.487179,4037.820512
3958.461538,4003.461538,3997.051282,4027.820512,4032.692307
3949.615384,3992.435897,3987.435897,4019.615384,4029.230769
3961.923076,4010.51282,4003.589743,4026.025641,4029.615384
3958.717948,4005,3999.358974,4024.358974,4021.666666
3937.820512,3981.153846,3980.128205,4018.974358,4018.717948
3932.692307,3985.25641,3983.205128,4015.897435,4017.307692
3933.717948,3992.435897,3988.589743,4002.820512,4000.128205
3929.487179,3985.128205,3982.820512,4006.538461,3997.820512
3930.76923,3983.717948,3979.487179,4021.666666,4012.435897
3934.871794,3990.897435,3981.923076,4011.153846,4003.461538
3937.435897,3996.538461,3985.76923,3997.820512,3988.974358
3942.564102,3990.641025,3978.461538,4006.410256,3999.871794
3932.179486,3969.615384,3954.230769,3992.564102,3994.615384
3922.692307,3965.51282,3949.999999,3971.153846,3975.384615
3941.02564,3986.666666,3977.179487,3992.307692,3992.179487
3948.333333,3990.25641,3983.461538,4012.820512,4013.461538
3945.128205,3988.461538,3982.051282,4013.333333,4008.717948
3961.538461,4005.76923,4002.564102,4020.76923,4011.794871
3961.538461,4005.76923,4002.564102,4020.76923,4011.794871
3961.153846,4004.230769,4004.615384,4021.282051,4016.410256
3927.307692,3972.179487,3970.384615,3999.102564,3993.076923
3920.128204,3964.230769,3959.615384,3988.076923,3975.384615
3948.846153,3995.25641,3993.076923,4009.230769,3991.282051
3959.102563,4007.948717,4007.564102,4023.461538,4005.641025
3952.948717,3990.25641,3986.153846,4012.179487,4000.384615
3957.179487,3985.384615,3977.179487,4004.102564,3998.461538
3956.923076,3993.589743,3983.846153,3997.692307,3992.948717
3957.179487,3997.179487,3989.230769,3995.384615,3991.538461
3976.794871,4005.128205,4000.128205,4020.51282,4017.948717
3987.179487,4012.564102,4008.333333,4037.564102,4030.76923
3972.179487,4006.282051,4003.333333,4019.230769,4007.692307
3964.999999,3999.615384,3997.820512,4012.051282,4000.25641
3973.974358,4002.564102,3998.974358,4026.923076,4017.435897
3975.51282,4007.307692,4002.948717,4031.666666,4018.589743
3961.410256,4000.384615,3997.948717,4018.589743,4003.076923
3961.923076,4001.666666,3996.282051,4011.923076,4001.410256
